"year","SAM","min.val","max.val","dd_mean","dd_sd"
2002,"VIR_LT80","17","50",575.01519648234,223.182118643864
2009,"VIR_LT80","17","50",432.893215815226,368.978921645354
2016,"VIR_LT80","17","50",435.986101659139,338.158521390019
2023,"VIR_LT80","17","50",300.328740710304,300.371977451846
1998,"VIR_LT80","18.5","50",138.389361381531,103.969399154651
2005,"VIR_LT80","18.5","50",196.890052061815,158.515662997093
2012,"VIR_LT80","18.5","50",410.749668502808,331.94062045766
2019,"VIR_LT80","18.5","50",735.308949549993,328.801839274787
1997,"VIR_LT80","18","50",149.492633342743,117.067723046087
2004,"VIR_LT80","18","50",86.8807101616493,64.6135863055161
2011,"VIR_LT80","18","50",357.750350815909,391.738436227395
2018,"VIR_LT80","18","50",292.336032322475,268.265174514715
1999,"VIR_LT80","19","50",772.938774333281,580.180146825021
2006,"VIR_LT80","19","50",319.959076139662,228.451147179578
2013,"VIR_LT80","19","50",157.405681292216,130.294802695527
2020,"VIR_LT80","19","50",480.134269194169,550.448382402085
